x,y,z
-4.65279776e+00,-1.91037804e+00,2.86425667e+01
-4.38984175e+00,-1.87324985e+00,2.81599664e+01
-4.14945319e+00,-1.85792205e+00,2.76811125e+01
-3.93142702e+00,-1.86171791e+00,2.72072875e+01
-3.73533887e+00,-1.88229029e+00,2.67395041e+01
-3.56059735e+00,-1.91762079e+00,2.62785647e+01
-3.40649076e+00,-1.96600935e+00,2.58251102e+01
-3.27222809e+00,-2.02605735e+00,2.53796611e+01
-3.15697429e+00,-2.09664683e+00,2.49426510e+01
-3.05987999e+00,-2.17691754e+00,2.45144530e+01
-2.98010633e+00,-2.26624340e+00,2.40954021e+01
-2.91684508e+00,-2.36420938e+00,2.36858128e+01
-2.86933475e+00,-2.47058934e+00,2.32859934e+01
-2.83687307e+00,-2.58532552e+00,2.28962592e+01
-2.81882650e+00,-2.70850970e+00,2.25169426e+01
-2.81463705e+00,-2.84036620e+00,2.21484032e+01
-2.82382698e+00,-2.98123667e+00,2.17910375e+01
-2.84600164e+00,-3.13156653e+00,2.14452876e+01
-2.88085084e+00,-3.29189277e+00,2.11116509e+01
-2.92814899e+00,-3.46283289e+00,2.07906901e+01
-2.98775422e+00,-3.64507463e+00,2.04830438e+01
-3.05960660e+00,-3.83936609e+00,2.01894379e+01
-3.14372560e+00,-4.04650570e+00,1.99106986e+01
-3.24020684e+00,-4.26733172e+00,1.96477658e+01
-3.34921807e+00,-4.50271055e+00,1.94017081e+01
-3.47099435e+00,-4.75352318e+00,1.91737392e+01
-3.60583228e+00,-5.02064927e+00,1.89652353e+01
-3.75408312e+00,-5.30494779e+00,1.87777533e+01
-3.91614449e+00,-5.60723344e+00,1.86130506e+01
-4.09245046e+00,-5.92824789e+00,1.84731036e+01
-4.28345939e+00,-6.26862465e+00,1.83601278e+01
-4.48963944e+00,-6.62884634e+00,1.82765949e+01
-4.71145076e+00,-7.00919337e+00,1.82252476e+01
-4.94932420e+00,-7.40968262e+00,1.82091103e+01
-5.20363560e+00,-7.82999518e+00,1.82314921e+01
-5.47467507e+00,-8.26939241e+00,1.82959802e+01
-5.76261069e+00,-8.72661992e+00,1.84064190e+01
-6.06744594e+00,-9.19980023e+00,1.85668711e+01
-6.38897043e+00,-9.68631557e+00,1.87815537e+01
-6.72670390e+00,-1.01826843e+01,1.90547459e+01
-7.07983360e+00,-1.06844362e+01,1.93906588e+01
-7.44714613e+00,-1.11859957e+01,1.97932637e+01
-7.82695540e+00,-1.16805826e+01,2.02660716e+01
-8.21702946e+00,-1.21601480e+01,2.08118634e+01
-8.61452067e+00,-1.26153613e+01,2.14323691e+01
-9.01590460e+00,-1.30356720e+01,2.21279050e+01
-9.41693512e+00,-1.34094678e+01,2.28969821e+01
-9.81262442e+00,-1.37243509e+01,2.37359109e+01
-1.01972576e+01,-1.39675495e+01,2.46384368e+01
-1.05644520e+01,-1.41264707e+01,2.55954520e+01
-1.09072697e+01,-1.41893847e+01,2.65948374e+01
-1.12183903e+01,-1.41462110e+01,2.76214879e+01
-1.14903440e+01,-1.39893516e+01,2.86575719e+01
-1.17158020e+01,-1.37144958e+01,2.96830528e+01
-1.18879098e+01,-1.33212991e+01,3.06764786e+01
-1.20006441e+01,-1.28138419e+01,3.16160006e+01
-1.20491643e+01,-1.22007761e+01,3.24805485e+01
-1.20301278e+01,-1.14951062e+01,3.32510497e+01
-1.19419353e+01,-1.07135919e+01,3.39115608e+01
-1.17848797e+01,-9.87581665e+00,3.44501805e+01
-1.15611794e+01,-9.00301404e+00,3.48596364e+01
-1.12748901e+01,-8.11678310e+00,3.51374835e+01
-1.09317036e+01,-7.23783537e+00,3.52859076e+01
-1.05386530e+01,-6.38490494e+00,3.53111821e+01
-1.01037545e+01,-5.57391968e+00,3.52228695e+01
-9.63561939e+00,-4.81748604e+00,3.50328814e+01
-9.14306930e+00,-4.12469188e+00,3.47545118e+01
-8.63478350e+00,-3.50119195e+00,3.44015422e+01
-8.11899905e+00,-2.94951398e+00,3.39874884e+01
-7.60327639e+00,-2.46951143e+00,3.35250252e+01
-7.09433442e+00,-2.05889107e+00,3.30255993e+01
-6.59795250e+00,-1.71375382e+00,3.24992132e+01
-6.11893209e+00,-1.42910329e+00,3.19543539e+01
-5.66110755e+00,-1.19929259e+00,3.13980307e+01
-5.22739478e+00,-1.01839452e+00,3.08358880e+01
-4.81986664e+00,-8.80491836e-01,3.02723607e+01
-4.43984509e+00,-7.79892068e-01,2.97108503e+01
-4.08800165e+00,-7.11275778e-01,2.91539012e+01
-3.76445973e+00,-6.69789582e-01,2.86033660e+01
-3.46889383e+00,-6.51095293e-01,2.80605534e+01
-3.20062224e+00,-6.51385826e-01,2.75263540e+01
-2.95869126e+00,-6.67377119e-01,2.70013455e+01
-2.74194981e+00,-6.96283655e-01,2.64858769e+01
-2.54911400e+00,-7.35783645e-01,2.59801347e+01
-2.37882196e+00,-7.83978482e-01,2.54841941e+01
-2.22967951e+00,-8.39349877e-01,2.49980574e+01
-2.10029730e+00,-9.00717117e-01,2.45216820e+01
-1.98932051e+00,-9.67196100e-01,2.40550008e+01
-1.89545191e+00,-1.03816122e+00,2.35979371e+01
-1.81746926e+00,-1.11321074e+00,2.31504144e+01
-1.75423798e+00,-1.19213595e+00,2.27123639e+01
